17:15:29.327 | === Inference Log Started ===
17:15:32.753 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
17:15:43.848 | FPS:4.0 | mouse_delta:(+0.156, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.535 | right:0.491 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.552 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.568 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:44.098 | FPS:4.0 | mouse_delta:(+0.156, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.535 | right:0.492 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.553 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:44.334 | FPS:4.0 | mouse_delta:(+0.157, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.484 | left:0.535 | right:0.492 | jump:0.547 | crouch:0.457 | shift:0.451 | weapon1:0.553 | weapon2:0.449 | weapon3:0.486 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:44.589 | FPS:4.0 | mouse_delta:(+0.158, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.484 | left:0.535 | right:0.492 | jump:0.547 | crouch:0.457 | shift:0.451 | weapon1:0.553 | weapon2:0.450 | weapon3:0.486 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.502 | decoy:0.540 | use:0.488
17:15:44.853 | FPS:4.1 | mouse_delta:(+0.158, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.515 | forward:0.429 | back:0.484 | left:0.535 | right:0.493 | jump:0.547 | crouch:0.457 | shift:0.451 | weapon1:0.553 | weapon2:0.450 | weapon3:0.486 | c4:0.457 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.502 | decoy:0.540 | use:0.488
17:15:45.117 | FPS:4.1 | mouse_delta:(+0.159, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.515 | forward:0.429 | back:0.484 | left:0.536 | right:0.493 | jump:0.547 | crouch:0.457 | shift:0.452 | weapon1:0.553 | weapon2:0.450 | weapon3:0.486 | c4:0.457 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.553 | flash:0.502 | decoy:0.540 | use:0.488
17:15:45.376 | FPS:4.1 | mouse_delta:(+0.160, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.515 | forward:0.429 | back:0.484 | left:0.536 | right:0.493 | jump:0.546 | crouch:0.457 | shift:0.452 | weapon1:0.553 | weapon2:0.450 | weapon3:0.487 | c4:0.457 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.553 | flash:0.502 | decoy:0.541 | use:0.488
17:15:45.611 | FPS:4.1 | mouse_delta:(+0.161, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.515 | forward:0.429 | back:0.484 | left:0.536 | right:0.493 | jump:0.546 | crouch:0.456 | shift:0.452 | weapon1:0.553 | weapon2:0.450 | weapon3:0.487 | c4:0.457 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.553 | flash:0.502 | decoy:0.541 | use:0.488
17:15:45.853 | FPS:4.1 | mouse_delta:(+0.162, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.514 | forward:0.429 | back:0.484 | left:0.536 | right:0.494 | jump:0.546 | crouch:0.456 | shift:0.452 | weapon1:0.553 | weapon2:0.451 | weapon3:0.488 | c4:0.457 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.553 | flash:0.503 | decoy:0.541 | use:0.488
17:15:46.092 | FPS:4.1 | mouse_delta:(+0.163, +0.305) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.514 | forward:0.429 | back:0.484 | left:0.537 | right:0.494 | jump:0.546 | crouch:0.456 | shift:0.452 | weapon1:0.553 | weapon2:0.451 | weapon3:0.488 | c4:0.458 | reload:0.466 | he:0.567 | molotov:0.436 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.488
17:15:46.353 | FPS:4.1 | mouse_delta:(+0.163, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.514 | forward:0.430 | back:0.483 | left:0.537 | right:0.494 | jump:0.546 | crouch:0.456 | shift:0.453 | weapon1:0.553 | weapon2:0.451 | weapon3:0.489 | c4:0.458 | reload:0.466 | he:0.567 | molotov:0.435 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.488
17:15:46.625 | FPS:4.1 | mouse_delta:(+0.164, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.514 | forward:0.430 | back:0.483 | left:0.537 | right:0.494 | jump:0.546 | crouch:0.455 | shift:0.453 | weapon1:0.553 | weapon2:0.452 | weapon3:0.489 | c4:0.458 | reload:0.466 | he:0.567 | molotov:0.435 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.488
17:15:46.867 | FPS:4.0 | mouse_delta:(+0.165, +0.303) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.431 | back:0.483 | left:0.537 | right:0.493 | jump:0.547 | crouch:0.455 | shift:0.453 | weapon1:0.554 | weapon2:0.452 | weapon3:0.489 | c4:0.458 | reload:0.466 | he:0.567 | molotov:0.435 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.488
17:15:47.114 | FPS:4.0 | mouse_delta:(+0.167, +0.302) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.431 | back:0.482 | left:0.538 | right:0.493 | jump:0.547 | crouch:0.454 | shift:0.454 | weapon1:0.553 | weapon2:0.452 | weapon3:0.490 | c4:0.458 | reload:0.467 | he:0.567 | molotov:0.434 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.487
17:15:47.350 | FPS:4.0 | mouse_delta:(+0.169, +0.302) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.432 | back:0.482 | left:0.538 | right:0.493 | jump:0.548 | crouch:0.454 | shift:0.454 | weapon1:0.553 | weapon2:0.453 | weapon3:0.490 | c4:0.457 | reload:0.467 | he:0.568 | molotov:0.434 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.487
