16:42:47.717 | === Inference Log Started ===
16:43:03.875 | FPS:2.0 | mouse_delta:(-0.012, -0.170) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.470 | right:0.511 | jump:0.505 | crouch:0.397 | shift:0.532 | weapon1:0.448 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.577 | he:0.533 | molotov:0.446 | smoke:0.510 | flash:0.511 | decoy:0.445 | use:0.566
16:43:04.251 | FPS:2.0 | mouse_delta:(-0.011, -0.171) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.484 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.470 | right:0.511 | jump:0.505 | crouch:0.397 | shift:0.532 | weapon1:0.448 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.577 | he:0.533 | molotov:0.446 | smoke:0.510 | flash:0.510 | decoy:0.445 | use:0.565
16:43:04.635 | FPS:2.0 | mouse_delta:(-0.011, -0.171) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.484 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.470 | right:0.511 | jump:0.505 | crouch:0.397 | shift:0.533 | weapon1:0.448 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.577 | he:0.533 | molotov:0.447 | smoke:0.510 | flash:0.510 | decoy:0.445 | use:0.565
16:43:05.029 | FPS:2.0 | mouse_delta:(-0.011, -0.172) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.484 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.469 | right:0.511 | jump:0.504 | crouch:0.397 | shift:0.533 | weapon1:0.448 | weapon2:0.466 | weapon3:0.560 | c4:0.552 | reload:0.577 | he:0.533 | molotov:0.447 | smoke:0.509 | flash:0.510 | decoy:0.445 | use:0.565
16:43:05.413 | FPS:2.1 | mouse_delta:(-0.012, -0.172) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.484 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.469 | right:0.511 | jump:0.504 | crouch:0.397 | shift:0.533 | weapon1:0.448 | weapon2:0.465 | weapon3:0.560 | c4:0.552 | reload:0.576 | he:0.533 | molotov:0.447 | smoke:0.509 | flash:0.510 | decoy:0.445 | use:0.565
16:43:05.781 | FPS:2.1 | mouse_delta:(-0.014, -0.172) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.483 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.469 | right:0.511 | jump:0.503 | crouch:0.397 | shift:0.533 | weapon1:0.448 | weapon2:0.465 | weapon3:0.560 | c4:0.552 | reload:0.576 | he:0.534 | molotov:0.447 | smoke:0.508 | flash:0.510 | decoy:0.445 | use:0.564
16:43:06.171 | FPS:2.1 | mouse_delta:(-0.016, -0.173) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.483 | second_fire:0.519 | forward:0.552 | back:0.450 | left:0.468 | right:0.511 | jump:0.503 | crouch:0.397 | shift:0.534 | weapon1:0.448 | weapon2:0.465 | weapon3:0.560 | c4:0.551 | reload:0.576 | he:0.534 | molotov:0.447 | smoke:0.507 | flash:0.510 | decoy:0.445 | use:0.564
16:43:06.571 | FPS:2.1 | mouse_delta:(-0.019, -0.172) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.482 | second_fire:0.519 | forward:0.552 | back:0.450 | left:0.468 | right:0.512 | jump:0.502 | crouch:0.398 | shift:0.534 | weapon1:0.448 | weapon2:0.464 | weapon3:0.559 | c4:0.551 | reload:0.576 | he:0.534 | molotov:0.447 | smoke:0.505 | flash:0.510 | decoy:0.444 | use:0.564
16:43:06.971 | FPS:2.0 | mouse_delta:(-0.021, -0.172) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.482 | second_fire:0.519 | forward:0.552 | back:0.450 | left:0.467 | right:0.512 | jump:0.501 | crouch:0.398 | shift:0.534 | weapon1:0.448 | weapon2:0.464 | weapon3:0.559 | c4:0.551 | reload:0.575 | he:0.535 | molotov:0.447 | smoke:0.504 | flash:0.510 | decoy:0.444 | use:0.564
16:43:07.363 | FPS:2.7 | mouse_delta:(-0.023, -0.172) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.481 | second_fire:0.519 | forward:0.552 | back:0.450 | left:0.467 | right:0.512 | jump:0.500 | crouch:0.398 | shift:0.535 | weapon1:0.448 | weapon2:0.464 | weapon3:0.558 | c4:0.550 | reload:0.575 | he:0.535 | molotov:0.448 | smoke:0.503 | flash:0.510 | decoy:0.443 | use:0.563
