16:57:12.112 | === Inference Log Started ===
16:57:16.457 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
16:57:24.144 | FPS:3.2 | mouse_delta:(-0.076, +0.195) | mouse_px:(-3, +8) | pressed:[none] | keys: fire:0.519 | second_fire:0.550 | forward:0.550 | back:0.453 | left:0.507 | right:0.543 | jump:0.399 | crouch:0.442 | shift:0.574 | weapon1:0.563 | weapon2:0.516 | weapon3:0.517 | c4:0.490 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.466 | flash:0.461 | decoy:0.509 | use:0.458
16:57:24.320 | FPS:3.3 | mouse_delta:(-0.077, +0.196) | mouse_px:(-3, +8) | pressed:[none] | keys: fire:0.519 | second_fire:0.550 | forward:0.550 | back:0.453 | left:0.507 | right:0.543 | jump:0.399 | crouch:0.442 | shift:0.573 | weapon1:0.563 | weapon2:0.516 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.475 | molotov:0.376 | smoke:0.466 | flash:0.461 | decoy:0.509 | use:0.458
16:57:24.515 | FPS:3.3 | mouse_delta:(-0.080, +0.197) | mouse_px:(-3, +8) | pressed:[none] | keys: fire:0.520 | second_fire:0.550 | forward:0.550 | back:0.452 | left:0.507 | right:0.543 | jump:0.398 | crouch:0.442 | shift:0.573 | weapon1:0.563 | weapon2:0.515 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.475 | molotov:0.376 | smoke:0.466 | flash:0.461 | decoy:0.509 | use:0.458
16:57:24.687 | FPS:3.4 | mouse_delta:(-0.082, +0.199) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.521 | second_fire:0.550 | forward:0.551 | back:0.452 | left:0.506 | right:0.543 | jump:0.397 | crouch:0.442 | shift:0.573 | weapon1:0.562 | weapon2:0.514 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.475 | molotov:0.376 | smoke:0.467 | flash:0.461 | decoy:0.508 | use:0.459
16:57:24.861 | FPS:3.4 | mouse_delta:(-0.084, +0.201) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.521 | second_fire:0.550 | forward:0.551 | back:0.451 | left:0.506 | right:0.543 | jump:0.396 | crouch:0.442 | shift:0.573 | weapon1:0.562 | weapon2:0.514 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.475 | molotov:0.376 | smoke:0.467 | flash:0.461 | decoy:0.508 | use:0.459
16:57:25.048 | FPS:3.5 | mouse_delta:(-0.085, +0.202) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.522 | second_fire:0.550 | forward:0.552 | back:0.451 | left:0.506 | right:0.543 | jump:0.396 | crouch:0.442 | shift:0.573 | weapon1:0.562 | weapon2:0.513 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.475 | molotov:0.377 | smoke:0.467 | flash:0.461 | decoy:0.508 | use:0.459
16:57:25.231 | FPS:3.5 | mouse_delta:(-0.086, +0.203) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.522 | second_fire:0.550 | forward:0.552 | back:0.451 | left:0.506 | right:0.542 | jump:0.395 | crouch:0.443 | shift:0.573 | weapon1:0.562 | weapon2:0.512 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.476 | molotov:0.377 | smoke:0.467 | flash:0.460 | decoy:0.508 | use:0.459
16:57:25.406 | FPS:3.4 | mouse_delta:(-0.086, +0.205) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.523 | second_fire:0.550 | forward:0.553 | back:0.450 | left:0.506 | right:0.542 | jump:0.395 | crouch:0.443 | shift:0.573 | weapon1:0.561 | weapon2:0.512 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.476 | molotov:0.378 | smoke:0.467 | flash:0.460 | decoy:0.507 | use:0.459
16:57:25.587 | FPS:5.2 | mouse_delta:(-0.087, +0.207) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.523 | second_fire:0.550 | forward:0.553 | back:0.450 | left:0.506 | right:0.542 | jump:0.394 | crouch:0.443 | shift:0.573 | weapon1:0.561 | weapon2:0.511 | weapon3:0.517 | c4:0.490 | reload:0.563 | he:0.476 | molotov:0.378 | smoke:0.467 | flash:0.460 | decoy:0.507 | use:0.459
16:57:25.768 | FPS:5.3 | mouse_delta:(-0.087, +0.208) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.523 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.505 | right:0.542 | jump:0.394 | crouch:0.443 | shift:0.574 | weapon1:0.561 | weapon2:0.510 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.378 | smoke:0.467 | flash:0.460 | decoy:0.507 | use:0.459
16:57:25.951 | FPS:5.3 | mouse_delta:(-0.088, +0.209) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.524 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.561 | weapon2:0.510 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.466 | flash:0.460 | decoy:0.506 | use:0.459
16:57:26.141 | FPS:5.3 | mouse_delta:(-0.088, +0.210) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.524 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.561 | weapon2:0.510 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.466 | flash:0.460 | decoy:0.506 | use:0.459
16:57:26.323 | FPS:5.4 | mouse_delta:(-0.088, +0.211) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.524 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.561 | weapon2:0.509 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.466 | flash:0.460 | decoy:0.506 | use:0.459
16:57:26.510 | FPS:5.4 | mouse_delta:(-0.088, +0.212) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.524 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.561 | weapon2:0.509 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.466 | flash:0.460 | decoy:0.506 | use:0.459
16:57:26.698 | FPS:5.4 | mouse_delta:(-0.088, +0.213) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.561 | weapon2:0.509 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.466 | flash:0.459 | decoy:0.506 | use:0.459
